"uid","cover"
"VP.6.C.85.2017",157
"VP.6.C.86.2016",94
"VP.6.C.96.2015",141
"VP.7.A.17.2017",128
"VP.7.A.24.2016",80
"VP.7.A.24.2017",91
"VP.7.A.33.2017",119
"VP.7.A.50.2015",99
"VP.7.A.59.2015",111
"VP.7.A.63.2016",71
"VP.7.A.98.2015",160
"VP.7.A.99.2016",123
"VP.7.B.17.2015",147
"VP.7.B.2.2017",154
"VP.7.B.24.2015",136
"VP.7.B.33.2015",119
"VP.7.B.50.2016",49
"VP.7.B.59.2016",118
"VP.7.B.63.2017",99
"VP.7.B.98.2016",88
"VP.7.B.99.2017",76
"VP.7.C.17.2016",163
"VP.7.C.24.2015",117
"VP.7.C.24.2016",131
"VP.7.C.33.2016",118
"VP.7.C.50.2017",148
"VP.7.C.59.2017",114
"VP.7.C.63.2015",118
"VP.7.C.98.2017",98
"VP.7.C.99.2015",115
"VP.8.A.12.2016",110
"VP.8.A.16.2015",122
"VP.8.A.31.2016",106
"VP.8.A.42.2015",31
"VP.8.A.45.2017",87
"VP.8.A.47.2016",100
"VP.8.A.53.2015",117
"VP.8.A.66.2017",116
"VP.8.A.91.2017",109
"VP.8.B.12.2017",61
"VP.8.B.16.2016",115
"VP.8.B.31.2017",135
"VP.8.B.42.2016",143
"VP.8.B.45.2015",143
"VP.8.B.47.2017",92
"VP.8.B.53.2016",127
"VP.8.B.60.2015",105
"VP.8.B.91.2015",115
"VP.8.C.12.2015",126
"VP.8.C.16.2017",165
"VP.8.C.31.2015",139
"VP.8.C.42.2017",101
"VP.8.C.45.2016",107
"VP.8.C.47.2015",143
"VP.8.C.53.2017",132
"VP.8.C.66.2016",162
"VP.8.C.91.2016",109
